variety,description
Rosé,"After many years of singing the praises of Muga's rosé, this vintage seems lacking and sour. The nose is short and quiet, while the palate delivers lean, citric flavors and a sharp, scouring finish. Whets the whistle, but doesn't put a smile on your face."
Rosé,"Light colored and light flavored, this has just hints of fruitiness along with the acidity. It is a crisp wine, very dry in character, bright and tangy at the end."
Rosé,"Mild citrus, melon and peach aromas are clean. This wine feels solid and a touch plump, but with agility. Peach and melon flavors are simple, and it's fresh, tasty and fairly elegant on the finish."
Rosé,"Fruity and bold, this opens with direct aromas of cherry, strawberry and pomegranate that are accented by hints of sweet pea, violet and lavender. The medium-weight palate offers ample lifting acidity and a finish of tart red berries and watermelon rind."
Rosé,"A gorgeously salmon-colored rosé made predominantly from Grenache (62%) co-fermented dry with Viognier (58%) out of Yolo County. The wine has a delicately pretty nose of peach and a light-medium body despite its 14.8% alcohol, though the finish falls off fast."
Rosé,"This is a lively, ripe, fruity wine that has both richness and freshness in equal measure. The wine is warm, but with delicate fruitiness from crisp red fruit. Drink this wine soon."
Rosé,"Pretty and pink, this light-bodied but nervy wine brims with white raspberry and pomegranate flavors and a texture that is crisp and mouth-cleansing. The balance between fruitiness and acidity is precise and appetizing, so it pays off sip after sip. It was made from Grenache, Mourvèdre, Roussanne and Grenache Blanc."
Rosé,"Made from Pinot Noir, this is a simple, rather sweet blush wine. It has jammy raspberry and vanilla flavors."
Rosé,"This is a ripe wine, full of red fruits cut with grapefruit acidity. Gravel vineyards on the slope of Mont Sainte-Victoire give a mineral character to this tight and nervy wine with its structure that supports the fruitiness that is developing well. Drink from later in 2016 for the wine to be at its best."
Rosé,"Light and bright, this is a direct and easygoing rosé, with attractive aromas and flavors of red currant, ruby-red grapefruit rind, white melon and peach. The medium-weight palate is lifted by refreshing, citrus-flavored acidity, ending with an orange and strawberry-hull fueled finish."
Rosé,"With its classic blend of Grenache, Cinsault and Syrah, this wine is crisp and bright with peach and citrus flavors. The acidity is lively and perfumed with summer blossom. It finishes with fruit and freshness."
Rosé,"This rich and impressive wine has structure and a firm texture, partly from the Cabernet Sauvignon in the blend (45% Grenache, 35% Syrah, 20% Cabernet Sauvignon). It is dense and full of juicy red fruits, caramel and delicious spice. Production is only 2,500 cases. It would be worth aging for a few more months, so drink from late 2015."
Rosé,"Here's a pretty Italian rosé from the Abruzzo region with a full and generous bouquet of wild berries, white cherry, pomegranate and cranberry. The wine is smooth and soft in the mouth with more pretty berry nuances on the close: Pair it with smoked salmon."
Rosé,"Having liked the 2007 rosé from Los Vascos, this pickled, citric burner just doesn't cut it. It shows Sauvignon Blanc-like flavors and acidity, while the finish is sour and briney. Devoid of the charm and pleasantries that rosé should deliver."
Rosé,"The entry-level wine from Sacha Lichine's Château d'Esclans. It is soft, broad, with more caramel and spice than fruit. It is definitely a food, not an apéritif, wine."
Rosé,"Made from 50% Syrah and 50% Mourvèdre, this rosé offers direct notes of red cherry, currant and raspberry on the nose and mouth. Hints of savory herbs and underbrush add depth to the palate, finishing short and slightly bitter. Drink up."
Rosé,"This playful rosé is marked by a saccharine, cotton candy quality that will remind you of cherry cough drops or raspberry lollipop. It's a simple, no-fuss, beautifully packaged wine with a subtle touch of bitter astringency on the close."
Rosé,"This pale salmon rosé starts off with scents of crushed stone and underripe stone fruit, then shows riper flavors of plum and peach on the palate before ending on notes of watermelon rind and citrus. Drink up."
Rosé,"Crafted from a mix of 48% Syrah, 45% Grenache and 7% Mourvèdre, this aromatic rosé is spicy and bursting with star fruit, citrus, apple, pear, apricot and more. It's a lively full-bodied wine with a smooth finish."
Rosé,"Pink-salmon in color, this blend of 61% Grenache, 29% Syrah, 8% Mourvèdre and 2% Viognier shows sharp and ripe citrus scents of kumquat and pink lime on the nose, along with a showy bubble-gum aroma. All the pink flavors come to the party on the palate, from watermelon to pink lemonade to bubble gum."
Rosé,"A powerful, wood-aged rosé that shows great richness, density and structure. Treat this as a fine wine and you'll appreciate the texture, the mature berry fruits, the spice and vanilla flavors. Weighty and full in the mouth, this could even age well for another year or two."
Rosé,"This is a pretty, light and balanced wine. It has attractive acidity plus a crisp edge of grapefruit and a typical touch of spice to give it a lift and an edge. The aftertaste continues the attractive, fresh theme."
Rosé,"This dry appetizing wine comes from one of Lodi's more adventurous winemakers, Markus Niggli. A hot-pink color and red-cherry aromas lead to bright fresh cherry and raspberry flavors, while a medium body and mild acidity form a smooth texture. Niggli made it from Syrah and Carignane grapes fermented by native yeast."
Rosé,"This wine is a medium cherry-red color, with some bricking. The volatiles are quite high and lead to off-dry cherry flavors."
Rosé,"Light and delicate bubblegum aromas are cut by pink lemonade, a touch of honeydew and a peachy ripeness on this blend of 67% Grenache, 22% Picpoul Blanc, 8% Mourvèdre and 3% Syrah. There is lots of minerality on the sip, with rainy slate and wet cement, as well as rounded watermelon, strawberry and bubblegum flavors, all sliced by lime and tangerine zest."
Rosé,"Fresh and soft, with bright strawberry flavors and a delicious texture of red currants. Lively acidity gives the wine a great send-off."
Rosé,"This Vino da Tavola rosé has no appellation or vintage date, butopens with ripe strawberry nuances and sweet almond paste. It offers a powdery, semisweet feel in the mouth."
Rosé,"A simple, fruit-forward rosé ideal for summer sipping, this blend of Syrah and Grenache boasts attractive mixed berry, melon and citrus aromas, with flavors that finish clean and dry."
Rosé,"Made from 58% Cabernet Sauvignon, 22% Merlot and 20% Cabernet Franc, this rosé was made in the saignée method, cold fermented for six weeks, left sur lies and cold stored, producing an intense, structured wine thick in strawberry and raspberry flavor with just a hint of herbal amidst its complex layers."
Rosé,"This wine is bone dry, very crisp and fruity. It presents a bright and lively character plus orange peel tang. The acidity at the end is very fresh, with just a touch of caramel."
Rosé,"Closer in style to a light red wine than a traditional dry rosé, this is dark pink—nearly pomegranate—in color, and boasts hints of leather, berries, dried herbs and white chocolate. Textured and round in the mouth, the only quibble is its relatively quick fade on the finish. Drink now."
Rosé,"Domaine de la Mordorée's 2014 rosés are fitting tributes to proprietor Christophe Delorme's final vintage (he died in June 2015). This blend of 50% Grenache, 30% Syrah and 20% Cinsault is weighty and rich, blending raspberries and white chocolate into a wine that could be served as a light red wine, with grilled meats or poultry."
